Rs_ID,Chr.,Position,Variant ID(hg37),Map_Rs ID,Minor Allele Global Frequency,Gene name,Gene Annotation,Match_data1,Match_data2(hg38),Match_data3,State,ChrommID,Cell_type,P value,PIP,State_value
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11847526,11996726,Quies,BSS01393,AD.FATPAD,5.02e-08,0.6390462,18
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11847526,11959126,Quies,BSS01394,AD.FATPAD,5.02e-08,0.6390462,18
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11855326,11971326,Quies,BSS00038,ADIP.ADCYTE,5.02e-08,0.6390462,18
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11847526,11959126,Quies,BSS00043,ADIP.TISSUE,5.02e-08,0.6390462,18
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11910126,11994326,Quies,BSS00183,BLD.CD4T,5.02e-08,0.6390462,18
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11939526,11945126,Het,BSS00185,BLD.CD4T,5.02e-08,0.6390462,13
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11941126,11945126,Het,BSS00186,BLD.CD4T,5.02e-08,0.6390462,13
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11857526,11959126,Quies,BSS00188,BLD.CD4T,5.02e-08,0.6390462,18
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11932126,11943926,ReprPCWk,BSS00189,BLD.CD4T,5.02e-08,0.6390462,17
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11910126,11954526,Quies,BSS00190,BLD.CD4T,5.02e-08,0.6390462,18
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11925526,11972726,ReprPCWk,BSS00191,BLD.CD4T,5.02e-08,0.6390462,17
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11936926,11959526,ReprPCWk,BSS00192,BLD.CD4T,5.02e-08,0.6390462,17
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11909926,11996526,Quies,BSS00274,BLD.CD4T,5.02e-08,0.6390462,18
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11848126,11944926,Quies,BSS00193,BLD.CD8T,5.02e-08,0.6390462,18
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11848126,11998726,Quies,BSS00194,BLD.CD8T,5.02e-08,0.6390462,18
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11937726,11957326,Quies,BSS00195,BLD.CD8T,5.02e-08,0.6390462,18
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11934526,11956326,ReprPCWk,BSS00196,BLD.CD8T,5.02e-08,0.6390462,17
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11916526,11973726,ReprPCWk,BSS00197,BLD.CD8T,5.02e-08,0.6390462,17
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11858926,11943526,Quies,BSS00198,BLD.CD8T,5.02e-08,0.6390462,18
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11848126,11959126,Quies,BSS00200,BLD.CD8T,5.02e-08,0.6390462,18
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11882526,11971726,Quies,BSS01279,BLD.MONONUC,5.02e-08,0.6390462,18
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11848126,11996526,Quies,BSS01419,BLD.MONONUC,5.02e-08,0.6390462,18
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11857126,11968126,Quies,BSS01420,BLD.MONONUC,5.02e-08,0.6390462,18
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11936726,11948926,ReprPCWk,BSS01421,BLD.MONONUC,5.02e-08,0.6390462,17
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11889926,11974726,Quies,BSS01423,BLD.MONONUC,5.02e-08,0.6390462,18
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11847726,11959326,Quies,BSS01424,BLD.MONONUC,5.02e-08,0.6390462,18
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11943126,11947126,Het,BSS01346,BLD.NAIVET,5.02e-08,0.6390462,13
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11934526,11950126,ReprPCWk,BSS01347,BLD.NAIVET,5.02e-08,0.6390462,17
rs77574423,3,11943270,3:11984744:G:A,rs77574423,0.10112,"TAMM41(dist=96385),SYN2(dist=61090)",intergenic,chr3,11857326,11958926,Quies,BSS01348,BLD.NAIVET,5.02e-08,0.6390462,18
