Rs_ID,Chr.,Position,Variant ID(hg37),Map_Rs ID,Minor Allele Global Frequency,Gene name,Gene Annotation,Match_data1,Match_data2(hg38),Match_data3,State,ChrommID,Cell_type,P value,PIP,State_value
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17142976,17234176,Quies,BSS01393,AD.FATPAD,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17142976,17233776,Quies,BSS01394,AD.FATPAD,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17144376,17184776,Quies,BSS00038,ADIP.ADCYTE,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17142976,17269176,Quies,BSS00043,ADIP.TISSUE,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17162976,17166576,ReprPCWk,BSS00183,BLD.CD4T,1.39e-07,0.324439509,17
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17159776,17167176,Quies,BSS00185,BLD.CD4T,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17145376,17166976,Quies,BSS00186,BLD.CD4T,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17144976,17233376,Quies,BSS00188,BLD.CD4T,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17145176,17233176,Quies,BSS00189,BLD.CD4T,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17145376,17166976,Quies,BSS00190,BLD.CD4T,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17163176,17166576,TxWk,BSS00191,BLD.CD4T,1.39e-07,0.324439509,6
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17163176,17168176,TxWk,BSS00192,BLD.CD4T,1.39e-07,0.324439509,6
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17145376,17167976,Quies,BSS00274,BLD.CD4T,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17145176,17233576,Quies,BSS00193,BLD.CD8T,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17145376,17233576,Quies,BSS00194,BLD.CD8T,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17144776,17233376,Quies,BSS00195,BLD.CD8T,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17145176,17233176,Quies,BSS00196,BLD.CD8T,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17144776,17195176,Quies,BSS00197,BLD.CD8T,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17145176,17167976,Quies,BSS00198,BLD.CD8T,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17145176,17233176,Quies,BSS00200,BLD.CD8T,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17153576,17227176,Quies,BSS01279,BLD.MONONUC,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17151176,17233576,Quies,BSS01419,BLD.MONONUC,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17142976,17233576,Quies,BSS01420,BLD.MONONUC,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17153576,17185576,Quies,BSS01421,BLD.MONONUC,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17153576,17233576,Quies,BSS01423,BLD.MONONUC,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17143576,17233576,Quies,BSS01424,BLD.MONONUC,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17145176,17168376,Quies,BSS01346,BLD.NAIVET,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17143776,17233376,Quies,BSS01347,BLD.NAIVET,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17144776,17233376,Quies,BSS01348,BLD.NAIVET,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17145176,17233176,Quies,BSS01478,BLD.TREG,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17145376,17233176,Quies,BSS01479,BLD.TREG,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17160176,17167976,Quies,BSS01480,BLD.TREG,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17099976,17234176,Quies,BSS00084,BONE.EMB.ARM,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17142976,17233976,Quies,BSS00330,BONE.EMB.FEMUR,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17099376,17266176,Quies,BSS01154,BONE.EMB.LEG,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17147576,17185176,Quies,BSS00705,BONE.MRW,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17147776,17183976,Quies,BSS01397,BONE.OSTBLAST,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17144776,17233176,Quies,BSS00077,BRN.AG,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17143776,17183776,Quies,BSS00078,BRN.AG,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,16990576,17233976,Quies,BSS00071,BRN.AMM,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17142976,17233776,Quies,BSS00089,BRN.AST,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17142976,17233776,Quies,BSS00090,BRN.AST.CRBLLM,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17142776,17233776,Quies,BSS00091,BRN.AST.HPC,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17131176,17233776,Quies,BSS00092,BRN.AST.SPCORD,1.39e-07,0.324439509,18
rs940825,7,17163931,7:17203555:G:C,rs35648722,0.130591,"AGR3(dist=281948),AHR(dist=134721)",intergenic,chr7,17143576,17233976,Quies,BSS00173,BRN.CAUD.NUC,1.39e-07,0.324439509,18
